Plate_ID,Tray,strain_ID,dicamba_trt,plant_genotype,temporal_block,WK4_num_nodules,WK6_num_nodules,shoot_biomass,WK4_fungal_pathogen_severe,WK4_fungal_pathogen_minor,WK3_nodule_presence,WK2_nodule_presence,WK1_nodule_presence
ST4-A12,12,strain_2087,0.5,mammoth,2,2,NA,NA,N,N,1,0,0
ST4-A13,12,strain_2141,0,mammoth,2,2,NA,NA,N,N,1,1,0
ST4-A14,12,uninoculated,0,kenland,2,0,NA,NA,N,N,0,0,0
ST4-A15,12,strain_2087,0,kenland,2,1,NA,NA,N,N,0,0,0
ST4-A16,12,strain_14479,0.5,mammoth,2,0,NA,NA,N,Y,0,0,0
ST4-A17,12,strain_2063,0,mammoth,2,2,NA,NA,N,N,0,0,0
ST4-A18,12,strain_2220,0,mammoth,2,5,NA,NA,N,N,1,1,1
ST4-B01,12,strain_2063,0.5,mammoth,2,2,NA,NA,N,N,1,1,1
ST4-B02,12,strain_2141,0.5,kenland,2,2,NA,NA,N,N,1,1,1
ST4-B03,12,strain_4386,0,mammoth,2,9,NA,NA,N,Y,1,0,0
ST4-B04,12,strain_2063,0.5,kenland,2,3,NA,NA,N,N,1,1,0
ST4-B05,12,strain_2141,0.5,mammoth,2,5,NA,NA,N,Y,1,1,0
ST4-B06,12,strain_14479,0,kenland,2,0,NA,NA,N,N,0,0,0
ST4-B07,12,strain_2220,0.5,kenland,2,6,NA,NA,N,N,1,1,0
ST4-B08,12,strain_2220,0.5,mammoth,2,5,NA,NA,N,N,1,0,0
ST4-B09,12,strain_2214,0.5,mammoth,2,0,NA,NA,N,Y,0,0,0
ST4-B10,12,strain_4386,0.5,mammoth,2,0,NA,NA,N,Y,0,0,0
ST4-B11,12,strain_14479,0.5,kenland,2,1,NA,NA,N,Y,0,0,0
ST4-B12,12,strain_2220,0,kenland,2,2,NA,NA,N,N,1,1,0
ST4-B13,12,strain_2316,0,kenland,2,2,NA,NA,N,N,1,0,0
ST4-B14,12,strain_2214,0,mammoth,2,0,NA,NA,N,Y,0,0,0
ST4-B15,12,strain_2214,0.5,kenland,2,0,NA,NA,N,N,0,0,0
ST4-B16,12,uninoculated,0.5,mammoth,2,0,NA,NA,N,Y,0,0,0
ST4-B17,12,strain_2063,0,kenland,2,2,NA,NA,N,N,1,1,1
ST4-B18,12,strain_2087,0,mammoth,2,13,NA,NA,N,N,1,1,0
ST5-A01,13,strain_2220,0,kenland,2,13,NA,NA,N,N,1,0,0
ST5-A02,13,strain_2087,0.5,mammoth,2,0,NA,NA,N,N,0,0,0
ST5-A03,13,uninoculated,0.5,mammoth,2,0,NA,NA,N,N,0,0,0
ST5-A04,13,strain_2063,0.5,kenland,2,0,NA,NA,N,N,0,0,0
ST5-A05,13,strain_2141,0,kenland,2,12,NA,NA,N,N,1,1,0
ST5-A06,13,strain_14479,0.5,mammoth,2,0,NA,NA,N,Y,0,0,0
ST5-A07,13,strain_2141,0.5,kenland,2,2,NA,NA,N,N,1,1,0
ST5-A08,13,strain_4386,0.5,kenland,2,2,NA,NA,N,Y,1,1,0
ST5-A09,13,strain_2214,0,mammoth,2,0,NA,NA,N,N,0,0,0
ST5-A10,13,strain_4386,0.5,mammoth,2,1,NA,NA,N,N,1,0,0
ST5-A11,13,uninoculated,0,kenland,2,0,NA,NA,N,N,0,0,0
ST5-A12,13,strain_2141,0,mammoth,2,3,NA,NA,N,N,1,1,0
ST5-A13,13,strain_2063,0,kenland,2,0,NA,NA,N,N,0,0,0
ST5-A14,13,strain_2220,0.5,kenland,2,1,NA,NA,N,Y,1,1,0
ST5-A15,13,strain_2087,0,kenland,2,4,NA,NA,N,N,1,1,0
ST5-A16,13,strain_2220,0.5,mammoth,2,0,NA,NA,N,Y,0,0,0
ST5-A17,13,strain_14479,0,mammoth,2,4,NA,NA,N,N,1,1,1
ST5-A18,13,strain_2214,0.5,kenland,2,0,NA,NA,N,N,0,0,0
ST5-B01,13,strain_2214,0.5,mammoth,2,0,NA,NA,N,N,0,0,0
ST5-B02,13,strain_2141,0.5,mammoth,2,4,NA,NA,N,N,1,0,0
ST5-B03,13,strain_2316,0,kenland,2,1,NA,NA,N,Y,0,0,0
ST5-B04,13,strain_2087,0,mammoth,2,4,NA,NA,N,N,1,1,0
ST5-B05,13,strain_4386,0,kenland,2,0,NA,NA,N,Y,0,0,0
ST5-B06,13,strain_2316,0,mammoth,2,1,NA,NA,N,Y,1,1,0
ST5-B07,13,strain_14479,0.5,kenland,2,2,NA,NA,N,N,1,0,0
ST5-B08,13,strain_2214,0,kenland,2,0,NA,NA,N,Y,0,0,0
ST5-B09,13,strain_2063,0.5,mammoth,2,0,NA,NA,N,N,0,0,0
ST5-B10,13,uninoculated,0.5,kenland,2,0,NA,NA,N,N,0,0,0
ST5-B11,13,uninoculated,0,mammoth,2,0,NA,NA,N,N,0,0,0
ST5-B12,13,strain_4386,0,mammoth,2,7,NA,NA,N,Y,1,1,0
ST5-B13,13,strain_2220,0,mammoth,2,1,NA,NA,N,N,1,1,0
ST5-B14,13,strain_2316,0.5,mammoth,2,0,NA,NA,N,Y,0,0,0
ST5-B15,13,strain_2316,0.5,kenland,2,0,NA,NA,N,Y,0,0,0
ST5-B16,13,strain_14479,0,kenland,2,6,NA,NA,N,N,1,1,0
ST5-B17,13,strain_2063,0,mammoth,2,5,NA,NA,N,N,1,1,0
ST5-B18,13,strain_2087,0.5,kenland,2,2,NA,NA,N,N,0,0,0
